age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
39,6,77516,14,13,3,9,4,1,2,2174,0,40,1,1
50,2,83311,14,13,1,5,3,1,2,0,0,13,1,1
38,1,215646,9,9,2,7,4,1,2,0,0,40,1,1
53,1,234721,7,7,1,7,3,5,2,0,0,40,1,1
28,1,338409,14,13,1,6,1,5,1,0,0,40,13,1
37,1,284582,15,14,1,5,1,1,1,0,0,40,1,1
49,1,160187,5,5,6,3,4,5,1,0,0,16,19,1
52,2,209642,9,9,1,5,3,1,2,0,0,45,1,0
31,1,45781,15,14,3,6,4,1,1,14084,0,50,1,0
42,1,159449,14,13,1,5,3,1,2,5178,0,40,1,0
37,1,280464,13,10,1,5,3,5,2,0,0,80,1,0
30,6,141297,14,13,1,6,3,2,2,0,0,40,8,0
23,1,122272,14,13,3,9,2,1,1,0,0,30,1,1
32,1,205019,11,12,3,4,4,5,2,0,0,50,1,1
40,1,121772,12,11,1,2,3,2,2,0,0,40,42,0
34,1,245487,4,4,1,11,3,3,2,0,0,45,21,1
25,2,176756,9,9,3,10,2,1,2,0,0,35,1,1
32,1,186824,9,9,3,8,6,1,2,0,0,40,1,1
38,1,28887,7,7,1,4,3,1,2,0,0,50,1,1
43,2,292175,15,14,2,5,6,1,1,0,0,45,1,0
40,1,193524,16,16,1,6,3,1,2,0,0,60,1,0
54,1,302146,9,9,4,3,6,5,1,0,0,20,1,1
35,4,76845,5,5,1,10,3,5,2,0,0,40,1,1
43,1,117037,7,7,1,11,3,1,2,0,2042,40,1,1
59,1,109015,9,9,2,1,6,1,1,0,0,40,1,1
56,5,216851,14,13,1,1,3,1,2,0,0,40,1,0
19,1,168294,9,9,3,2,2,1,2,0,0,40,1,1
54,9,180211,13,10,1,15,3,2,2,0,0,60,11,0
39,1,367260,9,9,2,5,4,1,2,0,0,80,1,1
49,1,193366,9,9,1,2,3,1,2,0,0,40,1,1
23,5,190709,11,12,3,13,4,1,2,0,0,52,1,1
20,1,266015,13,10,3,4,2,5,2,0,0,44,1,1
45,1,386940,14,13,2,5,2,1,2,0,1408,40,1,1
30,4,59951,13,10,1,9,2,1,2,0,0,40,1,1
